WELLREGNO,TOPHOLEYDD,TOPHOLEXDD,QUADRANTNO,BLOCKNO,DATUMELEV,WATERDEPTH,Oilp_80_95,Watp_80_95,Oilp_95_10,Watp_95_10,Zone
16/03a-E1,58.87619444,1.527,16,3,85,383,141,0,133.95,0,A
16/03a-E10,58.87619444,1.559527778,16,3,85,380,1135330,40037,1078563.5,38035.15,A
16/03a-E11,58.88228944,1.561866389,16,3,85,380,597438,39336,567566.1,37369.2,A
16/03a-E12,58.87616111,1.527061111,16,3,210,380,82116,828,78010.2,786.6,A
16/03a-E13,58.86541667,1.512444444,16,3,0,0,1208848,392170,1148405.6,372561.5,A
16/03a-E14,58.87908333,1.544236111,16,3,210,380,733252,94646,696589.4,89913.7,A
16/03a-E15,58.87619444,1.527,16,3,210,380,1294458,430363,1229735.1,408844.85,A
16/03a-E16,58.87621528,1.526762222,16,3,210,380,202031,18261,191929.45,17347.95,A
16/03a-E17,58.87496833,1.543024722,16,3,210,380,357848,154846,339955.6,147103.7,A
16/03a-E18,58.88228944,1.561866389,16,3,210,380,462610,40583,439479.5,38553.85,A
16/03a-E19,58.87631194,1.527070833,16,3,210,380,763221,304961,725059.95,289712.95,A
16/03a-E2,58.87618056,1.526972222,16,3,80,380,4052666,1325650,3850032.7,1259367.5,A
16/03a-E20,58.87629222,1.527093889,16,3,210,380,932053,331964,885450.35,315365.8,A
16/03a-E21,58.87620833,1.526825,16,3,210,380,1001707,323185,951621.65,307025.75,A
16/03a-E22,58.87619444,1.526777778,16,3,210,380,81,0,76.95,0,A
16/03a-E23,58.87629722,1.527030556,16,3,210,380,284314,158027,270098.3,150125.65,A
16/03a-E24,58.87631944,1.527008333,16,3,210,380,217547,9801,206669.65,9310.95,A
16/03a-E25,58.87631111,1.526972222,16,3,210,380,57032,4158,54180.4,3950.1,A
16/03a-E26,58.87496833,1.543024722,16,3,210,380,20731,2798,19694.45,2658.1,A
16/03a-E3,58.87616667,1.526972222,16,3,85,380,5,0,4.75,0,A
16/03a-E4,58.87616667,1.527166667,16,3,85,380,1692772,558634,1608133.4,530702.3,A
16/03a-E5,58.87286111,1.574944444,16,3,85,380,2379434,349769,2260462.3,332280.55,A
16/03a-E6,58.87619444,1.559527778,16,3,85,383,2023631,58470,1922449.45,55546.5,A
16/03a-E7,58.87619444,1.559527778,16,3,85,380,47355,3348,44987.25,3180.6,A
16/03a-E8,58.87619444,1.559527778,16,3,85,380,623075,115124,591921.25,109367.8,A
16/03a-E9,58.87619444,1.559527778,16,3,85,380,286407,20187,272086.65,19177.65,A
16/07a-B23,58.80536111,1.351722222,16,7,230,326,681784,28212,647694.8,26801.4,A
2/05-H1,60.95388889,0.939722222,2,5,157,470,4699609,1978858,4464628.55,1879915.1,A
2/05-H10Z,60.95366667,0.939972222,2,5,157,470,2998,0,2848.1,0,A
2/05-H11,60.95388889,0.939722222,2,5,157,470,198126,72114,188219.7,68508.3,A
2/05-H12,60.95388889,0.939722222,2,5,157,470,7296,0,6931.2,0,A
2/05-H13,60.95388889,0.939722222,2,5,157,470,843426,45502,801254.7,43226.9,A
2/05-H14,60.95388889,0.939722222,2,5,157,470,513,0,487.35,0,A
2/05-H16,60.95388889,0.939722222,2,5,157,470,2681,897,2546.95,852.15,A
2/05-H17,60.95388889,0.939722222,2,5,157,470,68846,854,65403.7,811.3,A
2/05-H18,60.95360278,0.939555556,2,5,157,470,2187579,847700,2078200.05,805315,A
2/05-H19,60.95388889,0.939722222,2,5,157,470,587446,72341,558073.7,68723.95,A
2/05-H2,60.95388889,0.939722222,2,5,157,470,1348558,533684,1281130.1,506999.8,A
2/05-H20,60.95388889,0.939722222,2,5,157,470,1027434,10148,976062.3,9640.6,A
2/05-H21,60.95388889,0.939722222,2,5,157,470,1595556,681452,1515778.2,647379.4,A
2/05-H22,60.95388889,0.939722222,2,5,157,470,1146074,321678,1088770.3,305594.1,A
2/05-H23,60.95388889,0.939722222,2,5,157,470,300099,29707,285094.05,28221.65,A
2/05-H25,60.95388889,0.939722222,2,5,157,470,2003614,881199,1903433.3,837139.05,A
2/05-H26,60.95388889,0.939722222,2,5,157,470,40247,0,38234.65,0,A
2/05-H27,60.95366389,0.939980556,2,5,157,470,16131,0,15324.45,0,A
2/05-H28,60.95388889,0.939722222,2,5,157,470,2449135,664430,2326678.25,631208.5,A
2/05-H29,60.95388889,0.939722222,2,5,157,470,36688,26600,34853.6,25270,A
2/05-H3,60.95388889,0.939722222,2,5,157,470,122236,0,116124.2,0,A
2/05-H30,60.95388889,0.939722222,2,5,157,470,492438,283096,467816.1,268941.2,A
2/05-H31,60.95388889,0.939722222,2,5,157,470,1955,1925,1857.25,1828.75,A
2/05-H32,60.95388889,0.939722222,2,5,157,470,259541,1773,246563.95,1684.35,A
2/05-H33,60.95388889,0.939722222,2,5,157,470,705966,5560,670667.7,5282,A
2/05-H34,60.95388889,0.939722222,2,5,157,470,1015250,369200,964487.5,350740,A
2/05-H35,60.95366667,0.939611111,2,5,157,470,683587,494090,649407.65,469385.5,A
2/05-H36,60.95366667,0.939972222,2,5,157,470,1088038,513594,1033636.1,487914.3,A
2/05-H37,60.95388889,0.939722222,2,5,157,470,3760466,3111467,3572442.7,2955893.65,A
2/05-H38,60.95366667,0.939972222,2,5,157,470,1020776,345160,969737.2,327902,A
2/05-H39,60.95366667,0.939972222,2,5,157,470,46052,7632,43749.4,7250.4,A
2/05-H4,60.95388889,0.939722222,2,5,157,470,668976,160661,635527.2,152627.95,A
2/05-H40,60.95366667,0.953666667,2,5,157,470,229358,1376,217890.1,1307.2,A
2/05-H41,60.93972222,0.939722222,2,5,157,470,1502690,233418,1427555.5,221747.1,A
2/05-H42,60.93972222,0.939722222,2,5,157,470,616538,28708,585711.1,27272.6,A
2/05-H43,60.93972222,0.939722222,2,5,157,470,1668983,1166129,1585533.85,1107822.55,A
2/05-H44,60.93972222,0.939722222,2,5,157,470,84440,29705,80218,28219.75,A
2/05-H45,60.95366389,0.939980556,2,5,157,470,89667,37317,85183.65,35451.15,A
2/05-H46,60.95366389,0.939980556,2,5,157,470,216069,2492,205265.55,2367.4,A
2/05-H47,60.95366667,0.939972222,2,5,157,470,7286754,5375744,6922416.3,5106956.8,A
2/05-H48,60.95366667,0.939972222,2,5,157,470,4019143,3796423,3818185.85,3606601.85,A
2/05-H49,60.95366667,0.939972222,2,5,157,470,818944,286222,777996.8,271910.9,A
2/05-H50,60.95366667,0.939972222,2,5,157,470,20452,188,19429.4,178.6,A
2/05-H51,60.95366667,0.939972222,2,5,157,470,1110612,869734,1055081.4,826247.3,A
2/05-H52,60.95366667,0.939611111,2,5,157,470,1131,678,1074.45,644.1,A
2/05-H53,60.95366667,0.939611111,2,5,157,470,343909,247704,326713.55,235318.8,A
2/05-H54,60.95366667,0.939972222,2,5,157,470,232250,126730,220637.5,120393.5,A
2/05-H55,60.95366667,0.939611111,2,5,157,470,641989,357140,609889.55,339283,A
2/05-H56,60.95366667,0.939972222,2,5,157,470,627006,283418,595655.7,269247.1,A
2/05-H57,60.95366667,0.939972222,2,5,157,470,285713,176167,271427.35,167358.65,A
